"year","ew_location","pdsi"
1860,"coast",1.85946551724138
1861,"coast",2.13513793103448
1862,"coast",1.12224137931034
1863,"coast",0.712327586206897
1864,"coast",-0.315965517241379
1865,"coast",0.359206896551724
1866,"coast",0.123103448275862
1867,"coast",0.259379310344828
1868,"coast",-0.971224137931034
1869,"coast",0.358603448275862
1870,"coast",0.559620689655172
1871,"coast",0.196793103448276
1872,"coast",1.00301724137931
1873,"coast",1.55960344827586
1874,"coast",0.677068965517241
1875,"coast",0.742465517241379
1876,"coast",0.463155172413793
1877,"coast",-0.809741379310345
1878,"coast",-0.35
1879,"coast",2.20489655172414
1880,"coast",0.891931034482759
1881,"coast",0.0172068965517242
1882,"coast",0.443327586206897
1883,"coast",-0.206655172413793
1884,"coast",-0.733120689655172
1885,"coast",0.723362068965517
1886,"coast",1.31787931034483
1887,"coast",0.0173103448275862
1888,"coast",-0.356103448275862
1889,"coast",1.58181034482759
1890,"coast",0.695879310344828
1891,"coast",0.188620689655172
1892,"coast",0.476
1893,"coast",0.649655172413793
1894,"coast",-0.19951724137931
1895,"coast",-0.105
1896,"coast",-1.28779310344828
1897,"coast",-1.26105172413793
1898,"coast",-1.33674137931034
1899,"coast",-0.262103448275862
1900,"coast",0.372344827586207
1901,"coast",-0.421293103448276
1902,"coast",-2.1683275862069
1903,"coast",0.730068965517241
1904,"coast",-0.663068965517241
1905,"coast",-1.18377586206897
1906,"coast",0.796379310344828
1907,"coast",0.243896551724138
1908,"coast",-0.519862068965517
1909,"coast",0.514051724137931
1910,"coast",1.83894827586207
1911,"coast",0.00855172413793103
1912,"coast",-0.243310344827586
1913,"coast",-0.734189655172414
1914,"coast",-0.872689655172414
1915,"coast",-0.863465517241379
1916,"coast",2.56927586206897
1917,"coast",2.02493103448276
1918,"coast",-1.03775862068966
1919,"coast",-1.42436206896552
1920,"coast",1.24731034482759
1921,"coast",0.649793103448276
1922,"coast",-1.11743103448276
1923,"coast",0.188189655172414
1924,"coast",0.583362068965517
1925,"coast",-1.14991379310345
1926,"coast",-0.351534482758621
1927,"coast",-0.619896551724138
1928,"coast",-1.68087931034483
1929,"coast",-1.55068965517241
1930,"coast",-0.622793103448276
1860,"plains",1.90205185185185
1861,"plains",1.87368148148148
1862,"plains",0.803044444444444
1863,"plains",0.793792592592593
1864,"plains",-0.5488
1865,"plains",-0.226022222222222
1866,"plains",0.340681481481481
1867,"plains",0.389444444444444
1868,"plains",-0.8276
1869,"plains",0.202051851851852
1870,"plains",0.730303703703704
1871,"plains",-0.167266666666667
1872,"plains",1.06126666666667
1873,"plains",1.34771851851852
1874,"plains",1.13088888888889
1875,"plains",1.3812
1876,"plains",0.234407407407407
1877,"plains",-1.30884444444444
1878,"plains",-0.0511629629629629
1879,"plains",1.68439259259259
1880,"plains",0.701118518518518
1881,"plains",0.0835111111111111
1882,"plains",0.191859259259259
1883,"plains",-0.2376
1884,"plains",-0.796681481481481
1885,"plains",0.962622222222222
1886,"plains",1.13160740740741
1887,"plains",-0.317340740740741
1888,"plains",0.00167407407407407
1889,"plains",1.50388888888889
1890,"plains",0.904785185185185
1891,"plains",0.228733333333333
1892,"plains",0.358088888888889
