board,ns_location,ew_location
Albury,south,slopes
Armidale,north,tablelands
Balranald,west,plains
Bathurst,central,tablelands
Berrima,central,coast
Bombala,south,tablelands
Bourke,west,plains
Braidwood,south,tablelands
Brewarrina,west,plains
Broken Hill,west,plains
Broulee,south,coast
Canonba,central,slopes
Canonbar,central,slopes
Carcoar,central,tablelands
Casino,north,tablelands
Cobar,west,plains
Condobolin,central,slopes
Coonabarabran,central,slopes
Coonamble,central,slopes
Corowa,south,slopes
Cumberland,central,coast
Deniliquin,south,slopes
Denman,central,tablelands
Dubbo,central,slopes
Eden,south,coast
Forbes,central,slopes
Germanton,south,tablelands
Glen Innes,north,tablelands
Gloucester,central,coast
Goulburn,south,tablelands
Grafton,north,coast
Gundagai,south,tablelands
Hay,south,slopes
Hillston,west,plains
Holbrook,south,tablelands
Hume,south,tablelands
Inverell,north,tablelands
Ivanhoe,west,plains
Jerilderie,south,slopes
Kiama,south,coast
Lismore,north,coast
Maitland,central,coast
Menindee,west,plains
Merriwa,central,tablelands
Milparinka,west,plains
Molong,central,slopes
Moree,north,slopes
Moulamein,south,slopes
Mudgee,central,tablelands
Narrabri,north,slopes
Narrandera,south,slopes
North Walgett,north,slopes
Picton,central,coast
Pilliga,north,slopes
Port Macquarie,north,coast
Port Stephens,central,coast
Queanbeyan,south,tablelands
Singleton,central,tablelands
Sydney,central,coast
Tamworth,north,tablelands
Tenterfield,north,tablelands
Tweed-Lismore,north,coast
Upper Hunter,central,tablelands
Urana,south,slopes
Wagga,south,slopes
Walgett,north,slopes
Wanaaring,west,plains
Warialda,north,slopes
Wentworth,west,plains
Wilcannia,west,plains
Windsor,central,tablelands
Yass,south,tablelands
Young,south,slopes
