year,Albury,Armidale,Balranald,Bathurst,Berrima,Bombala,Bourke,Braidwood,Brewarrina,Broken.Hill,Broulee,Canonba,Canonbar,Carcoar,Casino,Cobar,Condobolin,Coonabarabran,Coonamble,Corowa,Cumberland,Deniliquin,Denman,Dubbo,Eden,Forbes,Germanton,Glen.Innes,Gloucester,Goulburn,Grafton,Gundagai,Hay,Hillston,Holbrook,Hume,Inverell,Ivanhoe,Jerilderie,Kiama,Lismore,Maitland,Menindee,Merriwa,Milparinka,Molong,Moree,Moulamein,Mudgee,Narrabri,Narrandera,North.Walgett,Picton,Pilliga,Port.Macquarie,Port.Stephens,Queanbeyan,Singleton,Sydney,Tamworth,Tenterfield,Tweed.Lismore,Upper.Hunter,Urana,Wagga,Walgett,Wanaaring,Warialda,Wentworth,Wilcannia,Windsor,Yass,Young
1880, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1881, , , ,1, , , , , , , , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , 
1882,1,1, ,1,1, , , , , , , , ,1,1, ,1,1, ,1, , , , , ,1,1, , , ,1, ,1, , , , , , , , , , , , , ,1, , , ,1, , , , ,1, , , ,1, , , ,1, , , ,1, , ,1, ,1
1883,1, ,1,1,1,1, ,1,1, , , , ,1,1, ,1, , ,1, , , , , ,1, ,1, ,1, , , , , , , , , , , , , ,1, ,1, , , , , , , ,1, , , , , , ,1, , ,1, , , ,1, , ,1, ,1
1884,1, ,1, ,1,1,1, , , , , , , ,1, , ,1, ,1, , , ,1, , , ,1, , , , , , , , , , , , , , , ,1, ,1,1, ,1,1, , ,1,1, ,1, ,1,1,1, , , , , ,1, ,1,1, ,1, , 
1885, , ,1, ,1,1, , ,1, , , , ,1,1, ,1,1,1,1, , , , , ,1, ,1, , ,1,1, ,1, , , ,1, , , , , ,1, , ,1, ,1, ,1, ,1,1, ,1, ,1,1,1,1, , , ,1, , ,1,1,1,1, , 
1886,1, ,1, ,1,1,1,1, , , , , ,1,1,1,1, ,1,1, , , , , ,1,1,1, , ,1,1, ,1, , , ,1, , , ,1, ,1, ,1,1, ,1,1,1, ,1,1, ,1, ,1,1,1,1, , ,1,1, , ,1, ,1, , ,1
1887,1, ,1, , ,1,1,1, , ,1, , , ,1,1,1, ,1,1, , , , ,1,1, , , ,1,1,1, ,1, , , ,1, , , , , ,1, , ,1, ,1, ,1, ,1,1, ,1, ,1,1,1, , , ,1,1,1, ,1, ,1, , ,1
1888,1, ,1,1,1,1,1,1, , ,1, , ,1,1,1,1, ,1,1, , , , ,1,1, ,1, ,1, ,1,1, , , , , , , , ,1, , , ,1,1, ,1, ,1, ,1,1, ,1, ,1,1, ,1, , , ,1, ,1,1, ,1,1, ,1
1889,1, ,1, ,1,1,1,1, , ,1, ,1,1,1,1,1,1,1,1, , , ,1, ,1, ,1, ,1, , ,1, , , , , , , , , , , , ,1, ,1,1,1,1, ,1, , ,1, ,1,1,1,1, , ,1,1,1,1,1,1,1,1, ,1
1890,1, ,1,1,1, , , , ,1,1, , ,1,1,1,1,1,1,1, , , , ,1,1, ,1, ,1, ,1,1,1, , , ,1, , , ,1, , , ,1, ,1,1,1,1, , , ,1,1, ,1, ,1,1, , , ,1,1,1,1,1, , , , 
1891,1, , ,1,1,1, , , , ,1, , ,1, ,1,1,1,1,1, , ,1, , ,1, ,1, , ,1,1,1,1, , , ,1, , , , , , , ,1,1,1,1,1,1, , , , ,1,1,1,1,1,1, , ,1,1, , , ,1, , ,1,1
1892,1, ,1,1,1,1, ,1, ,1,1, , ,1, ,1,1,1,1,1, , ,1, ,1,1, ,1, , , , , ,1, , , , , ,1, ,1, , , ,1,1, ,1,1,1, , , , ,1, ,1,1,1,1,1, , ,1,1, ,1,1,1,1,1,1
1893,1,1,1, ,1,1, ,1, , , , , ,1, ,1, ,1,1,1, , ,1, ,1,1,1,1, , , ,1, ,1, , , , , , , , , , , ,1,1, , ,1,1, , , , ,1,1,1,1,1,1,1, , ,1,1, ,1,1,1, ,1,1
1894,1,1,1,1,1,1,1, , , ,1, , ,1, ,1,1,1,1, , , ,1,1,1,1, ,1, , , ,1, ,1, , , , , , , , , ,1, ,1,1, , ,1,1, , ,1, ,1, ,1,1,1,1,1, , , ,1, ,1,1, , ,1,1
